CD_MUN,NM_MUN,POP2019,CEP,AREA_KM2,CD_RGI,CD_RGINT,CD_UF
"2210052",São José do Divino,"5346","64245000",319.082,"220007","2202","22"
"2210102",São José do Peixe,"3745","64555000",1287.174,"220017","2206","22"
"2210201",São José do Piauí,"6705","64625000",373.347,"220009","2203","22"
"2210300",São Julião,"6363","64670000",291.115,"220009","2203","22"
"2210359",São Lourenço do Piauí,"4573","64778000",672.71,"220013","2204","22"
"2210375",São Luis do Piauí,"2644","64638000",217.924,"220009","2203","22"
"2210383",São Miguel da Baixa Grande,"2452","64378000",445.599,"220002","2201","22"
"2210391",São Miguel do Fidalgo,"3039","64558000",813.444,"220011","2203","22"
"2210409",São Miguel do Tapuio,"17662","64330000",4988.193,"220003","2201","22"
"2210508",São Pedro do Piauí,"14291","64430000",518.288,"220002","2201","22"
"2210607",São Raimundo Nonato,"34710","64770000",2415.599,"220013","2204","22"
"2210623",Sebastião Barros,"3469","64985000",893.716,"220015","2205","22"
"2210631",Sebastião Leal,"4294","64873000",3151.588,"220018","2206","22"
"2210656",Sigefredo Pacheco,"10041","64285000",1031.489,"220003","2201","22"
"2210706",Simões,"14633","64585000",1075.517,"220010","2203","22"
"2210805",Simplício Mendes,"12711","64700000",1360.028,"220012","2203","22"
"2210904",Socorro do Piauí,"4569","64720000",761.854,"220012","2203","22"
"2210938",Sussuapara,"6730","64610000",205.741,"220009","2203","22"
"2210953",Tamboril do Piauí,"2919","64893000",1587.296,"220019","2206","22"
"2210979",Tanque do Piauí,"2765","64512000",398.723,"220011","2203","22"
"2211001",Teresina,"864845","64000000",1391.046,"220001","2201","22"
"2211100",União,"44485","64120000",1173.447,"220001","2201","22"
"2211209",Uruçuí,"21558","64860000",8411.898,"220018","2206","22"
"2211308",Valença do Piauí,"20918","64300000",1333.722,"220004","2201","22"
"2211357",Várzea Branca,"4947","64773000",450.755,"220013","2204","22"
"2211407",Várzea Grande,"4391","64525000",237.013,"220002","2201","22"
"2211506",Vera Mendes,"3077","64568000",341.974,"220009","2203","22"
"2211605",Vila Nova do Piauí,"2971","64688000",221.654,"220009","2203","22"
"2211704",Wall Ferraz,"4462","64548000",269.987,"220009","2203","22"
